,TCS,INFY,SUNPHARMA,DRREDDY,RELIANCE,ONGC,HDFCBANK,SBI,HUL,ITC,BTC
TCS,1.0,0.008095026519505229,0.014756995569605046,0.02448681245580827,0.046835607919793354,0.010494726850599708,0.03326636346616261,0.03667330302782812,0.01916607254054822,0.03140896797996445,0.06099368009620615
INFY,0.008095026519505229,1.0,0.16052517528436686,0.14153202695804584,0.21123985016003843,0.16008910482298053,0.11901383307003825,0.21111539668974474,0.16939296943596424,0.3867790908118204,0.21577510572060518
SUNPHARMA,0.014756995569605046,0.16052517528436686,1.0,0.187674073078439,0.25810968160951026,0.20676503981052863,0.1651785076138637,0.3771977985306323,0.4108254433861008,0.17532124512410588,0.228931395374252
DRREDDY,0.02448681245580827,0.14153202695804584,0.187674073078439,1.0,0.20448082206308368,0.3162697122031911,-0.017509336047401403,0.19120626958932851,0.10551912753883284,0.15875723669994668,0.23386983330869082
RELIANCE,0.046835607919793354,0.21123985016003843,0.25810968160951026,0.20448082206308368,1.0,0.1625408516493432,0.1361101283673349,0.27028490287213924,0.19160384252172724,0.19982027870144928,0.7079536670282868
ONGC,0.010494726850599708,0.16008910482298053,0.20676503981052863,0.3162697122031911,0.1625408516493432,1.0,0.16308606054498587,0.30565785117849537,0.2815305969788337,0.1980465471933372,0.15068820093198504
HDFCBANK,0.03326636346616261,0.11901383307003825,0.1651785076138637,-0.017509336047401403,0.1361101283673349,0.16308606054498587,1.0,0.3918818166518543,0.373269194520987,0.16139225647370337,0.14601310359609754
SBI,0.03667330302782812,0.21111539668974474,0.3771977985306323,0.19120626958932851,0.27028490287213924,0.30565785117849537,0.3918818166518543,1.0,0.44098828157956865,0.24389155090398365,0.2843707492964041
HUL,0.01916607254054822,0.16939296943596424,0.4108254433861008,0.10551912753883284,0.19160384252172724,0.2815305969788337,0.373269194520987,0.44098828157956865,1.0,0.19522749581541232,0.20207107022659274
ITC,0.03140896797996445,0.3867790908118204,0.17532124512410588,0.15875723669994668,0.19982027870144928,0.1980465471933372,0.16139225647370337,0.24389155090398365,0.19522749581541232,1.0,0.21406511881392418
BTC,0.06099368009620615,0.21577510572060518,0.228931395374252,0.23386983330869082,0.7079536670282868,0.15068820093198504,0.14601310359609754,0.2843707492964041,0.20207107022659274,0.21406511881392418,1.0
